START,START
STOP,STOP
INITIAL,INITIAL
LOT END,LOT END
TASK LOG,TASK LOG
VCM MAGAZINE,VCM MAGAZINE
LENS MAGAZINE,LENS MAGAZINE
UNLOADER MAGAZINE,UNLOADER MAGAZINE
MAGAZINE CONTROL,MAGAZINE CONTROL
INPUT,INPUT
MACHINE STATUS,MACHINE STATUS
EQ ID,EQ ID
LAYOUT,LAYOUT
SEQUENCE STATUS,SEQUENCE STATUS
CYCLE TIME,CYCLE TIME
INTERFACE,INTERFACE
TACT TIME,TACT TIME
VCM LOADER,VCM LOADER
VCM PICKER,VCM PICKER
LENS LOADER,LENS LOADER
LENS PICKER,LENS PICKER
JIG FLATNESS,JIG FLATNESS
LENS HEIGHT,LENS HEIGHT
BONDER 1,BONDER 1
BONDER 2,BONDER 2
VISION INSPECT,VISION INSPECT
CURING 1,CURING 1
CURING 2,CURING 2
SIDE ANGLE,SIDE ANGLE
UNLOADER,UNLOADER
UNLOAD PICKER,UNLOAD PICKER
CLEAN JIG,CLEAN JIG
PRODUCT STATUS,PRODUCT STATUS
None Porduct,None Porduct
Ready,Ready
Error,Error
Exist,Exist
VCM TRAY INFORMATION,VCM TRAY INFORMATION
LENS TRAY INFORMATION,LENS TRAY INFORMATION
UNLOADER TRAY INFORMATION,UNLOADER TRAY INFORMATION
NG TRAY INFORMATION,NG TRAY INFORMATION
X INDEX,X INDEX
Y INDEX,Y INDEX
SLOT NO,SLOT NO
INDEX,INDEX
Slot,Slot
KOREAN,KOREAN
ENGLISH,ENGLISH
CHINESE,CHINESE
VIETNAMESE,VIETNAMESE
OPEN,OPEN
SAVE AS,SAVE AS
DELETE,DELETE
Machine Option,Machine Option
Run Option,Run Option
Language Option,Language Option
Sequence Option,Sequence Option
DRY RUN,DRY RUN
   General   ,   General   
Unit Use Option,Unit Use Option
USE JIG FLATNESS,USE JIG FLATNESS
USE SIDE ANGLE,USE SIDE ANGLE
USE CLEAN JIG,USE CLEAN JIG
USE LENS HEIGHT,USE LENS HEIGHT
PROJECT,PROJECT
INDEX,INDEX
BONDER,BONDER
CURING,CURING
SETTING,SETTING
IMAGE,IMAGE
JOG,JOG
RELATIVE,RELATIVE
MAGAZINE,MAGAZINE
TRANSFER,TRANSFER
STAGE,STAGE
SEMI AUTO,SEMI AUTO
Speed,Speed
SPEED,SPEED
FAST,FAST
SLOW,SLOW
Current Position,Current Position
Stage Unclamp,Stage Unclamp
Stage Clamp,Stage Clamp
Stage Tray Contact,Stage Tray Contact
