시작,START,開始,Kh?i đ?u
정지,STOP,停止,D?ng l?i
초기화,INITIAL,初始化,KH?I đ?U
랏 엔드,LOT END,,
태스크 로그,TASK LOG,,,
VCM MAGAZINE,VCM MAGAZINE,,
LENS MAGAZINE,LENS MAGAZINE,,
UNLOADER MAGAZINE,UNLOADER MAGAZINE,,
MAGAZINE CONTROL,MAGAZINE CONTROL,,
입력,INPUT,,
설비 상태,MACHINE STATUS,,
설비 명칭,EQ ID,,
레이아웃,LAYOUT,,
시퀀스 상태,SEQUENCE STATUS,,
사이클 타임,CYCLE TIME,,
인터페이스,INTERFACE,,
택타임,TACT TIME,,
VCM LOADER,VCM LOADER,,
VCM PICKER,VCM PICKER,,
LENS LOADER,LENS LOADER,,
LENS PICKER,LENS PICKER,,
JIG PLATE ANGLE,JIG PLATE ANGLE,,
LENS HEIGHT,LENS HEIGHT,,
BONDER 1,BONDER 1,,
BONDER 2,BONDER 2,,
CURING 1,CURING 1,,
CURING 2,CURING 2,,
PLATE ANGLE,PLATE ANGLE,,
UNLOADER,UNLOADER,,
UNLOAD PICKER,UNLOAD PICKER,,
CLEAN JIG,CLEAN JIG,,
제품 상태,PRODUCT STATUS,,
제품 없음,None Porduct,,
KOREAN,KOREAN,,
ENGLISH,ENGLISH,,
CHINESE,CHINESE,,
VIETNAMESE,VIETNAMESE,,
OPEN,OPEN,,
SAVE AS,SAVE AS,,
DELETE,DELETE,,
Machine Option,Machine Option,,
Run Option,Run Option,,
Read Barcode,Read Barcode,,
Language Option,Language Option,,
Sequence Option,Sequence Option,,
Pick / Place,Pick / Place,,
Flux,Flux,,
LASER,LASER,,
Displace Sensor,Displace Sensor,,
Feeder Base Setting,Feeder Base Setting,,
Vision Inspect,Vision Inspect,,
DRY RUN,DRY RUN,,
IN LINE,IN LINE,,
STAND ALONE,STAND ALONE,,
Read ReWorkFile,Read ReWorkFile,,
KOREAN,KOREAN,,
ENGLISH,ENGLISH,,
CHINESE,CHINESE,,
VIETNAMESE,VIETNAMESE,,
Use Pick && Place,Use Pick && Place,,
Use Flux Nozzle 1,Use Flux Nozzle 1,,
Use Flux Nozzle 2,Use Flux Nozzle 2,,
Use Attach,Use Attach,,
Use Detach,Use Detach,,
Use Before Detach,Use Before Detach,,
Use After Detach,Use After Detach,,
Use After Dotting,Use After Dotting,,
Use After Attach,Use After Attach,,
Use After Place,Use After Place,,
   General   ,   General   ,,
   Flux   ,   Flux   ,,
 LED, LED,,
   Pcb   ,   Pcb   ,,
   Wafer   ,   Wafer   ,,
   Displacement Sensor   ,   Displacement Sensor   ,,
LED INFORMATION,LED INFORMATION,,
Flux Feeder Index,Flux Feeder Index,,
GelPak Feeder Index,GelPak Feeder Index,,
Count X,Count X,,
Count Y,Count Y,,
Zone,Zone,,
Pitch X,Pitch X,,
Pitch Y,Pitch Y,,
1st LED OffSET X,1st LED OffSET X,,
1st LED OffSET Y,1st LED OffSET Y,,
X Even Offset,X Even Offset,,
X Odd Offset,X Odd Offset,,
Y Even Offset,Y Even Offset,,
Y Odd Offset,Y Odd Offset,,
WAFER INFORMATION,WAFER INFORMATION,,
Wafer Red First Offset X,Wafer Red First Offset X,,
Wafer Red First Offset Y,Wafer Red First Offset Y,,
Wafer Green First Offset X,Wafer Green First Offset X,,
Wafer Green First Offset Y,Wafer Green First Offset Y,,
Wafer Blue First Offset X,Wafer Blue First Offset X,,
Wafer Blue First Offset Y,Wafer Blue First Offset Y,,
Flux #1,Flux #1,,
Flux #2,Flux #2,,
PROJECT,PROJECT,,
CAMERA,CAMERA,,
LED,LED,,
FLUX,FLUX,,
LASER,LASER,,
D-SENSOR && BARCODE,D-SENSOR && BARCODE,,
CONVAYOR,CONVAYOR,,
WAFER,WAFER,,
MOTION,MOTION,,
